group,names,scores,logfoldchanges,pvals,pvals_adj
Ctrl,mt:CoI,45.944485,1.0323806,0.0,0.0
Ctrl,br,44.268894,0.6947128,0.0,0.0
Ctrl,mt:CoIII,44.2532,1.4780247,0.0,0.0
Ctrl,l(3)80Fj,30.458172,0.96415794,9.337265910814e-204,7.12246643676892e-201
Ctrl,Cirl,30.315573,0.7037124,7.146775741303107e-202,5.110838001999385e-199
Ctrl,PlexA,29.875093,0.9997617,4.145952784262892e-196,2.790470103384471e-193
Ctrl,AMPdeam,29.514507,1.6505708,1.8754627911022088e-191,1.1294234345153407e-188
Ctrl,rl,29.300253,1.1789942,1.0294505384765462e-188,5.88948653062432e-186
Ctrl,gus,28.784393,1.4324807,3.363651384396792e-182,1.6733434408812217e-179
Ctrl,ImpE2,28.333187,1.402621,1.3487082623526457e-176,6.429966640766238e-174
Ctrl,anne,27.978905,1.2680652,2.934659816554432e-172,1.291476062346762e-169
Ctrl,Syp,26.988302,0.41014332,2.0275655664837532e-160,8.285501861323965e-158
Ctrl,l(3)80Fg,26.213179,1.2187678,1.8804142392546002e-151,7.419206801914185e-149
Ctrl,mt:CoII,25.563217,1.0045068,3.914809977358564e-144,1.4931085253645564e-141
Ctrl,nkd,25.241062,0.9005269,1.4197201151829486e-140,4.922556835734333e-138
Ctrl,nmo,25.072147,0.8669454,1.0013001440906731e-138,3.3696694849074944e-136
Ctrl,CG6700,24.850449,1.1769972,2.5570947476311636e-136,8.359508029255936e-134
Ctrl,CG30440,24.429008,1.061436,8.412983821480074e-132,2.6016584023074322e-129
Ctrl,Nipped-A,24.326677,0.85077065,1.0236540016601686e-130,3.082276075525171e-128
Ctrl,Ephrin,24.265848,1.4912894,4.498838817349198e-130,1.3198900961053725e-127
Ctrl,pk,24.197737,1.3017148,2.350167993619868e-129,6.722655545749632e-127
Ctrl,CG17883,24.046843,1.7161604,9.007371564960258e-128,2.51371574259208e-125
Ctrl,Eph,23.763004,1.1553024,8.062774501528219e-125,2.1965301392020447e-122
Ctrl,nub,23.503883,2.7512822,3.722299270514214e-122,9.90477866354038e-120
Ctrl,Argk1,23.240894,1.3458492,1.758524297668819e-119,4.4713411142059174e-117
Ctrl,CG31998,22.61363,1.0809939,3.182589028776653e-113,7.586496597346347e-111
Ctrl,l(2)gl,22.285152,0.95631933,5.1480934656774434e-110,1.2021323558016593e-107
Ctrl,grp,22.261887,0.948046,8.652780035245151e-110,1.9801021832655002e-107
Ctrl,Sxl,21.965006,0.76929903,6.224856647243225e-107,1.369707879956865e-104
Ctrl,mt:Cyt-b,21.864292,1.0338173,5.684066265114037e-106,1.2271148340648078e-103
Ctrl,Hipk,21.740831,0.79529244,8.435810029802485e-105,1.787454414092593e-102
Ctrl,CG12567,21.363377,1.3392769,2.928547032325455e-101,6.0924427534305194e-99
Ctrl,CG42748,21.10579,0.73226786,7.036878553637707e-99,1.388206282943494e-96
Ctrl,CG10077,21.102007,0.96132404,7.623031024657282e-99,1.478351203120824e-96
Ctrl,Maf1,20.996656,1.3629893,7.036761764641848e-98,1.3419104685172004e-95
Ctrl,Hrb27C,20.876942,0.4381849,8.677021570113933e-97,1.6275816525449775e-94
Ctrl,Gprk1,20.798447,0.67729,4.470478824328108e-96,7.992377923119095e-94
Ctrl,CG17834,20.622616,1.3285372,1.7200586277136928e-94,3.0278324335846267e-92
Ctrl,vtd,20.604517,1.1022774,2.500059790645714e-94,4.334194564328524e-92
Ctrl,numb,20.561554,0.9666845,6.065958828207031e-94,1.0359209091394753e-91
Ctrl,CG33978,19.890244,0.6734521,4.9434050446816656e-88,8.080348645892517e-86
Ctrl,Nipped-B,19.528326,0.77829397,6.307217482005639e-85,1.0023219781820628e-82
Ctrl,Socs36E,19.467003,0.87017804,2.0915987679249854e-84,3.2340639327834704e-82
Ctrl,eEF1alpha1,19.452415,0.34217286,2.7802053381113793e-84,4.2414812638227207e-82
Ctrl,Ppn,19.326164,1.540122,3.2359790424387778e-83,4.871851605734802e-81
Ctrl,Dyrk3,19.315891,1.3206434,3.9485825312989484e-83,5.867491080925009e-81
Ctrl,ImpE1,19.267723,1.3237222,1.0025209903605622e-82,1.4706211758596861e-80
Ctrl,esn,19.141607,1.1309944,1.1370907840357325e-81,1.646910474802133e-79
Ctrl,Glut1,18.739424,1.7741112,2.3616817885556414e-78,3.3360942005745247e-76
Ctrl,CG43980,18.7381,1.0521704,2.4211687269621985e-78,3.378416167548961e-76
Ctrl,Haspin,18.579361,1.0890902,4.7210088854011255e-77,6.28113763566973e-75
Ctrl,PMCA,18.565033,0.6953991,6.164885420116804e-77,8.107887238732928e-75
Ctrl,mt:ND5,18.240513,0.89691174,2.461361703821316e-74,3.129211179458167e-72
Ctrl,Hsp83,18.235716,0.522545,2.6871025795560975e-74,3.3786623862946005e-72
Ctrl,Ank,18.040646,0.82305306,9.344462019280745e-73,1.1621666785283727e-70
Ctrl,uex,18.003904,0.7496837,1.815577078773512e-72,2.2337454769168304e-70
Ctrl,ko,18.002848,0.78539157,1.850562017110336e-72,2.2525670850826027e-70
Ctrl,CG40045,17.556084,1.0643184,5.3437669740924e-69,6.303441414181983e-67
Ctrl,CG31224,17.554108,1.0932975,5.53291066411149e-69,6.459955491710579e-67
Ctrl,betaTub60D,17.54007,1.5612595,7.084041869375054e-69,8.105560706938937e-67
Ctrl,how,17.520607,0.80221176,9.975377058297768e-69,1.1190025911866967e-66
Ctrl,mod(mdg4),17.365025,0.8089918,1.518369501432024e-67,1.6545889367033542e-65
Ctrl,CG41378,17.313435,0.7928655,3.7251184451675656e-67,3.983439742953951e-65
Ctrl,Cals,17.222706,0.9026825,1.794007619235779e-66,1.90065140549035e-64
Ctrl,rn,17.117048,3.4177148,1.107499402225947e-65,1.1625695559880078e-63
Ctrl,MFS17,17.101398,0.6038096,1.4488679983388288e-65,1.5070861488175343e-63
Ctrl,LRP1,16.809237,0.696811,2.0884558115736971e-63,2.1528028284708326e-61
Ctrl,CG17528,16.665121,1.1436666,2.350119873836696e-62,2.400899249682096e-60
Ctrl,SCaMC,16.560278,1.1174554,1.349676121128733e-61,1.3666366529163684e-59
Ctrl,Eip63E,16.505018,0.60998464,3.37634510808324e-61,3.3887842742709158e-59
Ctrl,CG43736,16.482527,0.5111101,4.8993124784340834e-61,4.874602902455894e-59
Ctrl,Cht10,16.291191,0.69232875,1.1398870813405758e-59,1.1147511098033219e-57
