group,names,scores,logfoldchanges,pvals,pvals_adj
Ctrl,hdc,44.07902,1.4132268,0.0,0.0
Ctrl,heph,42.35331,0.86610943,0.0,0.0
Ctrl,fru,38.721516,3.5051336,0.0,0.0
Ctrl,CG10077,36.13398,2.4030666,6.641287620167827e-286,9.498701618745034e-283
Ctrl,gus,30.808157,2.0804937,2.0376907228005803e-208,1.6653755178774456e-205
Ctrl,mt:CoIII,29.476845,1.4749496,5.703300216945899e-191,4.350477405486332e-188
Ctrl,mt:CoI,28.924534,0.99294,5.868900197287649e-184,3.950115062197957e-181
Ctrl,l(3)80Fj,28.574446,1.2370071,1.3961650779594267e-179,8.874956012228755e-177
Ctrl,CG17883,28.296703,2.801678,3.7942560015933795e-176,2.284940903696392e-173
Ctrl,EcR,27.756897,1.2840706,1.4385382318421637e-169,7.837978308922875e-167
Ctrl,msi,26.508108,1.0495425,7.815840973688587e-155,3.888210974823688e-152
Ctrl,dpy,25.782463,1.5353259,1.3947886957457587e-146,6.138143175662681e-144
Ctrl,psq,25.360561,0.8786033,6.872424625536301e-142,2.91238083575505e-139
Ctrl,PlexA,24.864508,1.1819109,1.801932487046323e-136,7.109555695442768e-134
Ctrl,anne,24.779167,1.5509193,1.5037996806705907e-135,5.735491982077633e-133
Ctrl,MFS17,24.33099,1.1302549,9.21543240713756e-131,3.012656502927656e-128
Ctrl,rl,24.265106,1.2832046,4.580602948604626e-130,1.4165205118360575e-127
Ctrl,Rbfox1,23.79388,1.0802875,3.864391035584121e-125,1.1337528776706028e-122
Ctrl,uex,23.486053,1.2630033,5.66337258942902e-122,1.620007729206171e-119
Ctrl,cta,23.423243,1.8558698,2.477631140895999e-121,6.914403783934639e-119
Ctrl,nkd,23.288332,1.1508999,5.820670788889411e-120,1.5857170277731582e-117
Ctrl,l(3)80Fg,23.164865,1.419972,1.0296983396764453e-118,2.6776837278586106e-116
Ctrl,grp,22.948238,1.3570328,1.534367538394402e-116,3.901385194290833e-114
Ctrl,Nipped-A,22.527277,1.064842,2.2433413859136815e-112,5.347565028671738e-110
Ctrl,SNF4Agamma,22.402512,1.475037,3.719972282699518e-111,8.686514869111813e-109
Ctrl,nub,22.352983,3.1034992,1.1294168012790845e-110,2.5845574080470568e-108
Ctrl,CG42673,21.806837,1.1505828,1.9981860742003116e-105,4.396777896346147e-103
Ctrl,Eph,21.74764,1.4737298,7.272440725462966e-105,1.5409493848286527e-102
Ctrl,bi,21.653471,2.0997345,5.637090909446372e-104,1.172719894288825e-101
Ctrl,rn,21.240788,4.037616,4.011118652727598e-100,7.912968900777445e-98
Ctrl,Ephrin,20.689713,1.6319168,4.287675615436569e-95,8.176597398637537e-93
Ctrl,CG17528,20.349516,1.8517208,4.688815126568374e-92,8.794987324294318e-90
Ctrl,CG11360,20.286154,1.3879682,1.704161923078737e-91,3.145003342559178e-89
Ctrl,CaMKII,20.041128,1.3357017,2.4123567047626196e-89,4.312841471233421e-87
Ctrl,jigr1,19.897041,1.5153235,4.3167273685600163e-88,7.59876839247134e-86
Ctrl,Dyrk3,19.663315,1.7556511,4.446911965479987e-86,7.709328289245759e-84
Ctrl,Eip75B,19.508274,1.0990334,9.338082259630355e-85,1.5712696649219192e-82
Ctrl,Pep,19.503027,1.1361885,1.0347181652614085e-84,1.7158326444813097e-82
Ctrl,jumu,19.477783,1.7200198,1.6946001427650586e-84,2.769944976216829e-82
Ctrl,AMPdeam,19.432735,1.4367716,4.080336397015589e-84,6.575663247134137e-82
Ctrl,nw,19.363207,1.1644788,1.5775180522005625e-83,2.5069391046220604e-81
Ctrl,CG41099,19.197632,1.4124721,3.873583039670722e-82,5.989396910798973e-80
Ctrl,CG17691,19.164742,1.7111682,7.291911085639628e-82,1.1124539552251817e-79
Ctrl,mt:CoII,19.027533,1.0263067,1.008912211335808e-80,1.4992173405330278e-78
Ctrl,Socs36E,18.878984,1.3256882,1.6981892546824315e-79,2.491113006676459e-77
Ctrl,Ank,18.675802,1.140375,7.791045679231356e-78,1.1284195526805717e-75
Ctrl,vtd,18.647934,1.3148088,1.312517558229998e-77,1.8772282376584545e-75
Ctrl,CG12567,18.604448,1.5005422,2.9572456981997596e-77,4.076723527566464e-75
