,0,1,2,3,4,5,6
Top_1,CG9932,lva,mfas,Dr,CG15282,ph-d,Kdm5
Top_2,Fim,Ssdp,trh,Ephrin,Dscam1,Spt6,RhoU
Top_3,luna,knrl,peb,pnt,hbs,XNP,flfl
Top_4,dar1,RpL7,Samuel,nw,Tet,caup,SPARC
Top_5,apt,p23,bru2,bic,Cul1,Antp,KrT95D
Top_6,drk,fz2,mgl,cic,corto,mt:CoI,east
Top_7,Idgf4,RpS30,Cht6,Hipk,kirre,CG42663,kek1
Top_8,Msp300,eEF1beta,jim,tral,rdo,Hex-A,Tmc
Top_9,rdgA,Eip74EF,CG12581,Hsp23,rst,Drat,Spn
Top_10,CG34417,RpL9,Hs6st,CycT,vvl,CG31710,siz
Top_11,zip,RpL7A,AdamTS-A,tinc,pyd,Gdap2,path
Top_12,Rbfox1,Df31,dally,ds,sty,Mef2,nord
Top_13,DAAM,drl,verm,sty,jigr1,BuGZ,ptc
Top_14,fj,Pep,cv-c,arr,tinc,Hrb87F,Wdr62
Top_15,Piezo,RpS14a,btsz,eIF5B,bi,CG10555,qkr54B
Top_16,CG42524,RpL22,CG6959,trx,pdm3,lbk,Mtor
Top_17,spri,RpL38,sno,trn,SRPK,CG42748,nkd
Top_18,kay,beta-Spec,kst,tutl,nmo,pigs,CG44325
Top_19,cib,RpL6,mub,Cad87A,CG2865,RhoGAP1A,Rab5
Top_20,ab,rin,CG42674,stai,Mapmodulin,CG31523,Ser
