,0,1,2,3,4,5,6,7,8,9,10,11,12
Top_1,hdc,CG42268,ImpE2,DIP-alpha,CG9932,Hsc70-3,CG13003,Dys,trol,bbg,Ance,RpL18,Hml
Top_2,Kank,sm,Hr4,Tet,fru,Cht10,nmo,Mkp3,bi,side-V,CG8306,nub,eater
Top_3,fru,kmr,br,heph,Sdb,dar1,jing,ec,CG13044,sm,RpL13A,miple2,CG8501
Top_4,magu,Oda,Blimp-1,Mur2B,CG8740,Act5C,mam,dl,Hs6st,grn,Gfat1,COX7A,Pxn
Top_5,klu,aop,Syp,ds,Msp300,alphaTub84B,Cpr49Ac,chas,Rbfox1,rols,Sdb,Rack1,zfh1
Top_6,Myc,pyd,Hsp27,RpS15Aa,kay,Oatp74D,kay,inaE,IRSp53,NFAT,srl,pAbp,vkg
Top_7,Tet,RhoGEF64C,fra,RpS19a,fz2,CG34417,ab,CG17834,Ran,chrb,jim,mt:Cyt-b,Cipc
Top_8,Bacc,sgg,pio,Fas3,dar1,ab,Svil,ImpE1,bic,tutl,RpS10b,SP1173,Col4a1
Top_9,grh,puc,hid,hdc,ps,fz2,CG34417,smal,corto,ImpE2,RpL40,RpL30,SsRbeta
Top_10,rst,mtgo,Hsp26,RpL41,par-1,luna,Cip4,Drat,how,CG43759,fng,RpL8,LManII
Top_11,SNF4Agamma,CG14439,Dl,ec,Rbfox1,bab2,Pka-C1,Tollo,zfh2,tai,CNBP,stg,RpS21
Top_12,Tollo,tyn,Sema2b,RpS21,jim,Gp93,tnc,GILT1,px,Myo10A,RpS17,RpL17,tth
Top_13,caps,jbug,Mur2B,mbl,IRSp53,Mmp2,ben,Polr2A,Gug,CG30440,Sap-r,Amun,LanB1
Top_14,upSET,bbg,fz2,CG32447,chinmo,Ubx,ena,kmr,mfas,RhoGAP71E,ps,RpS29,vsg
Top_15,brk,CG5953,InR,CG10077,SP1173,betaTub56D,Jupiter,fus,kibra,CG6959,eEF1beta,eEF2,LanA
Top_16,caup,tup,ec,bi,Ten-m,Cpr49Ac,br,CG1632,apt,tsh,fj,vsg,Tig
Top_17,jumu,pk,Eip75B,Df31,CG34417,so,sick,Ppa,peb,IP3K2,RpL6,RpS3A,GEFmeso
Top_18,Antp,kuz,Hsp70Ab,mtd,luna,cib,shep,aqz,stumps,CG4374,LanA,beta-Spec,pigs
Top_19,ds,Fas2,Pgant9,RpS7,hdc,drl,kuz,chrb,Fili,mab-21,RpL17,Moe,ct
Top_20,ths,CG32137,ttk,RpL4,rgn,CG42342,spri,pyd,Myc,fra,RpS28b,RpS5a,sty
