source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048731,system development,8.419013543726863e-30,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",1527,94,62,11686,0.6595744680851063,0.04060248853962017,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0048856,anatomical structure development,1.7968315723491414e-26,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",2775,94,74,11686,0.7872340425531915,0.02666666666666667,query_1,['GO:0032502']
GO:BP,GO:0032502,developmental process,1.3073341411799092e-24,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",2954,94,74,11686,0.7872340425531915,0.025050778605280974,query_1,['GO:0008150']
GO:BP,GO:0007275,multicellular organism development,9.712753840431552e-24,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",2276,94,66,11686,0.7021276595744681,0.02899824253075571,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0048699,generation of neurons,1.0342988340650996e-22,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",903,94,45,11686,0.4787234042553192,0.04983388704318937,query_1,['GO:0022008']
GO:BP,GO:0009653,anatomical structure morphogenesis,1.189225793011312e-22,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",1580,94,56,11686,0.5957446808510638,0.035443037974683546,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0048513,animal organ development,1.870912119630715e-22,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",1200,94,50,11686,0.5319148936170213,0.041666666666666664,query_1,['GO:0048856']
GO:BP,GO:0022008,neurogenesis,2.0885722424900947e-22,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",972,94,46,11686,0.48936170212765956,0.047325102880658436,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0007399,nervous system development,1.6303830466147824e-21,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",1196,94,49,11686,0.5212765957446809,0.04096989966555184,query_1,['GO:0048731']
GO:BP,GO:0030154,cell differentiation,4.09479522212673e-21,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",1768,94,57,11686,0.6063829787234043,0.03223981900452489,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,4.215698975192984e-21,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",1769,94,57,11686,0.6063829787234043,0.0322215941209723,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0030182,neuron differentiation,5.847682817991147e-20,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",832,94,41,11686,0.43617021276595747,0.04927884615384615,query_1,"['GO:0030154', 'GO:0048699']"
GO:BP,GO:0009887,animal organ morphogenesis,2.809828996209861e-17,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",763,94,37,11686,0.39361702127659576,0.04849279161205767,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0032501,multicellular organismal process,1.0779725464828884e-16,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",3205,94,68,11686,0.723404255319149,0.021216848673946957,query_1,['GO:0008150']
GO:BP,GO:0048468,cell development,3.4542088626839533e-15,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",1450,94,46,11686,0.48936170212765956,0.031724137931034485,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0000902,cell morphogenesis,2.4841138609430817e-13,True,"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]",567,94,29,11686,0.30851063829787234,0.05114638447971781,query_1,['GO:0009653']
GO:BP,GO:0009888,tissue development,4.492486842915258e-13,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",680,94,31,11686,0.32978723404255317,0.045588235294117645,query_1,['GO:0048856']
GO:BP,GO:0048666,neuron development,1.139442284980409e-12,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",651,94,30,11686,0.3191489361702128,0.04608294930875576,query_1,"['GO:0030182', 'GO:0048468']"
GO:BP,GO:0050794,regulation of cellular process,1.4259745117575889e-12,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",4130,94,71,11686,0.7553191489361702,0.01719128329297821,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0007389,pattern specification process,2.43471582858822e-12,True,"""Any developmental process that results in the creation of defined areas or spaces within an organism to which cells respond and eventually are instructed to differentiate."" [GOC:go_curators, GOC:isa_complete, ISBN:0521436125]",521,94,27,11686,0.2872340425531915,0.05182341650671785,query_1,"['GO:0007275', 'GO:0032501']"
GO:BP,GO:0007444,imaginal disc development,3.360836689730608e-12,True,"""The process whose specific outcome is the progression of the imaginal disc over time, from its formation to the metamorphosis to form adult structures. Imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult structures (legs, antennae, wings, etc.)."" [GOC:bf, ISBN:0879694238]",576,94,28,11686,0.2978723404255319,0.04861111111111111,query_1,['GO:0048513']
GO:BP,GO:0060429,epithelium development,4.371133307925936e-12,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",582,94,28,11686,0.2978723404255319,0.048109965635738834,query_1,['GO:0009888']
GO:BP,GO:0050789,regulation of biological process,4.528788466332124e-12,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",4335,94,72,11686,0.7659574468085106,0.01660899653979239,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0003002,regionalization,5.611351688529774e-12,True,"""The pattern specification process that results in the subdivision of an axis or axes in space to define an area or volume in which specific patterns of cell differentiation will take place or in which cells interpret a specific environment."" [GOC:dph, GOC:isa_complete]",492,94,26,11686,0.2765957446808511,0.052845528455284556,query_1,['GO:0007389']
GO:BP,GO:0065007,biological regulation,5.818472079742093e-12,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",4608,94,74,11686,0.7872340425531915,0.016059027777777776,query_1,['GO:0008150']
GO:BP,GO:0048859,formation of anatomical boundary,6.037656252977898e-12,True,"""The process in which the limits of an anatomical structure are generated. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",53,94,12,11686,0.1276595744680851,0.22641509433962265,query_1,['GO:0048646']
GO:BP,GO:0120039,plasma membrane bounded cell projection morphogenesis,7.287303793675506e-12,True,"""The process in which the anatomical structures of a plasma membrane bounded cell projection are generated and organized."" [GOC:krc]",452,94,25,11686,0.26595744680851063,0.05530973451327434,query_1,['GO:0048858']
GO:BP,GO:0048858,cell projection morphogenesis,8.066847477465424e-12,True,"""The process in which the anatomical structures of a cell projection are generated and organized."" [GO_REF:0000021]",454,94,25,11686,0.26595744680851063,0.05506607929515418,query_1,"['GO:0000902', 'GO:0009653', 'GO:0030030']"
GO:BP,GO:0035220,wing disc development,2.6934341324560866e-11,True,"""Progression of the wing disc over time, from its initial formation through to its metamorphosis to form adult structures including the wing hinge, wing blade and pleura."" [GOC:bf, ISBN:0879694238]",390,94,23,11686,0.24468085106382978,0.05897435897435897,query_1,['GO:0007444']
GO:BP,GO:0007411,axon guidance,3.0028090238101834e-11,True,"""The chemotaxis process that directs the migration of an axon growth cone to a specific target site in response to a combination of attractive and repulsive cues."" [ISBN:0878932437]",274,94,20,11686,0.2127659574468085,0.072992700729927,query_1,"['GO:0007409', 'GO:0097485']"
GO:BP,GO:0048667,cell morphogenesis involved in neuron differentiation,4.8498908434459114e-11,True,"""The process in which the structures of a neuron are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a neuron."" [GOC:dph, GOC:tb]",445,94,24,11686,0.2553191489361702,0.05393258426966292,query_1,"['GO:0000902', 'GO:0048666']"
GO:BP,GO:0007423,sensory organ development,5.0704802582981324e-11,True,"""The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure."" [GOC:go_curators]",492,94,25,11686,0.26595744680851063,0.0508130081300813,query_1,['GO:0048513']
GO:BP,GO:0097485,neuron projection guidance,5.1885024943302564e-11,True,"""The process in which the migration of a neuron projection is directed to a specific target site in response to a combination of attractive and repulsive cues."" [GOC:BHF, GOC:rl, PMID:22790009]",282,94,20,11686,0.2127659574468085,0.07092198581560284,query_1,"['GO:0031175', 'GO:0048812']"
GO:BP,GO:0031175,neuron projection development,5.559977656391466e-11,True,"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]",494,94,25,11686,0.26595744680851063,0.05060728744939271,query_1,"['GO:0048666', 'GO:0120036']"
GO:BP,GO:0048812,neuron projection morphogenesis,6.199412198531444e-11,True,"""The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."" [GOC:mah]",450,94,24,11686,0.2553191489361702,0.05333333333333334,query_1,"['GO:0031175', 'GO:0120039']"
GO:BP,GO:0045165,cell fate commitment,6.644161110013559e-11,True,"""The cellular developmental process by which a cell establishes the intrinsic character of a cell or tissue region irreversibly committing it to a particular fate."" [ISBN:0716731185]",324,94,21,11686,0.22340425531914893,0.06481481481481481,query_1,"['GO:0030154', 'GO:0048869']"
GO:BP,GO:0048519,negative regulation of biological process,1.6999191508789164e-10,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",1596,94,42,11686,0.44680851063829785,0.02631578947368421,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0048523,negative regulation of cellular process,1.702076926617828e-10,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",1520,94,41,11686,0.43617021276595747,0.026973684210526316,query_1,"['GO:0009987', 'GO:0048519', 'GO:0050794']"
GO:BP,GO:0048645,animal organ formation,2.407481700497442e-10,True,"""The process pertaining to the initial formation of an animal organ from unspecified parts. The process begins with the specific processes that contribute to the appearance of the discrete structure, such as inductive events, and ends when the structural rudiment of the organ is recognizable, such as a condensation of mesenchymal cells into the organ rudiment. Organs are a natural part or structure in an animal or a plant, capable of performing some special action (termed its function), which is essential to the life or well-being of the whole. The heart and lungs are organs of animals, and the petal and leaf are organs of plants. In animals the organs are generally made up of several tissues, one of which usually predominates, and determines the principal function of the organ."" [GOC:dph, GOC:jid]",53,94,11,11686,0.11702127659574468,0.20754716981132076,query_1,"['GO:0009887', 'GO:0048646']"
