source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048513,animal organ development,3.1502518516635182e-24,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",1200,88,50,11686,0.5681818181818182,0.041666666666666664,query_1,['GO:0048856']
GO:BP,GO:0009653,anatomical structure morphogenesis,1.09400639302172e-23,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",1580,88,55,11686,0.625,0.03481012658227848,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0007275,multicellular organism development,2.5402169468632592e-23,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",2276,88,63,11686,0.7159090909090909,0.027680140597539545,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0032502,developmental process,1.2735171424524252e-22,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",2954,88,69,11686,0.7840909090909091,0.023358158429248477,query_1,['GO:0008150']
GO:BP,GO:0048856,anatomical structure development,2.882378871318589e-22,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",2775,88,67,11686,0.7613636363636364,0.024144144144144144,query_1,['GO:0032502']
GO:BP,GO:0030154,cell differentiation,3.2514547793899747e-22,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",1768,88,56,11686,0.6363636363636364,0.03167420814479638,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,3.3471592725941814e-22,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",1769,88,56,11686,0.6363636363636364,0.03165630299604296,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0009887,animal organ morphogenesis,1.184560982973346e-21,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",763,88,40,11686,0.45454545454545453,0.05242463958060288,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0048731,system development,2.3179968186499544e-21,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",1527,88,52,11686,0.5909090909090909,0.034053700065487885,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0032501,multicellular organismal process,1.806858924250306e-18,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",3205,88,67,11686,0.7613636363636364,0.020904836193447737,query_1,['GO:0008150']
