source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0007275,multicellular organism development,4.772661148104328e-25,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",2276,98,69,11686,0.7040816326530612,0.03031634446397188,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0030154,cell differentiation,1.2598106493830615e-24,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",1768,98,62,11686,0.6326530612244898,0.03506787330316742,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,1.300926221245832e-24,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",1769,98,62,11686,0.6326530612244898,0.035048049745618995,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0032502,developmental process,1.4029010063857558e-23,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",2954,98,75,11686,0.7653061224489796,0.025389302640487475,query_1,['GO:0008150']
GO:BP,GO:0048856,anatomical structure development,1.9449801020671997e-23,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",2775,98,73,11686,0.7448979591836735,0.026306306306306305,query_1,['GO:0032502']
GO:BP,GO:0009653,anatomical structure morphogenesis,2.264129597462469e-22,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",1580,98,57,11686,0.5816326530612245,0.036075949367088606,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0007399,nervous system development,1.8295786665031985e-21,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",1196,98,50,11686,0.5102040816326531,0.04180602006688963,query_1,['GO:0048731']
GO:BP,GO:0048731,system development,3.252834333856211e-21,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",1527,98,55,11686,0.5612244897959183,0.03601833660772757,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0009887,animal organ morphogenesis,1.5234876769888292e-18,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",763,98,39,11686,0.3979591836734694,0.05111402359108781,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0022008,neurogenesis,1.653928911176841e-18,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",972,98,43,11686,0.4387755102040816,0.044238683127572016,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0032501,multicellular organismal process,1.8546589852175708e-18,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",3205,98,72,11686,0.7346938775510204,0.022464898595943836,query_1,['GO:0008150']
GO:BP,GO:0009888,tissue development,2.7642963948439837e-18,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",680,98,37,11686,0.37755102040816324,0.054411764705882354,query_1,['GO:0048856']
GO:BP,GO:0048699,generation of neurons,8.101529629508268e-18,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",903,98,41,11686,0.41836734693877553,0.04540420819490587,query_1,['GO:0022008']
GO:BP,GO:0050794,regulation of cellular process,2.7541660928988172e-17,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",4130,98,79,11686,0.8061224489795918,0.019128329297820823,query_1,"['GO:0009987', 'GO:0050789']"
GO:BP,GO:0030182,neuron differentiation,3.367837488156123e-17,True,"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]",832,98,39,11686,0.3979591836734694,0.046875,query_1,"['GO:0030154', 'GO:0048699']"
GO:BP,GO:0048468,cell development,7.902399214525331e-17,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",1450,98,49,11686,0.5,0.03379310344827586,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0048513,animal organ development,9.816448327981053e-17,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",1200,98,45,11686,0.45918367346938777,0.0375,query_1,['GO:0048856']
GO:BP,GO:0050789,regulation of biological process,1.072353796204669e-16,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",4335,98,80,11686,0.8163265306122449,0.01845444059976932,query_1,"['GO:0008150', 'GO:0065007']"
GO:BP,GO:0060429,epithelium development,2.0418487165565314e-16,True,"""The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure."" [GOC:dph, GOC:mtg_lung]",582,98,33,11686,0.336734693877551,0.05670103092783505,query_1,['GO:0009888']
GO:BP,GO:0065007,biological regulation,1.073325092375628e-15,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",4608,98,81,11686,0.826530612244898,0.017578125,query_1,['GO:0008150']
GO:BP,GO:0048518,positive regulation of biological process,1.993407454742997e-15,True,"""Any process that activates or increases the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:jid]",1856,98,53,11686,0.5408163265306123,0.028556034482758622,query_1,"['GO:0008150', 'GO:0050789']"
GO:BP,GO:0048522,positive regulation of cellular process,3.189502243400199e-14,True,"""Any process that activates or increases the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:jid]",1744,98,50,11686,0.5102040816326531,0.028669724770642203,query_1,"['GO:0009987', 'GO:0048518', 'GO:0050794']"
GO:BP,GO:0002165,instar larval or pupal development,5.232020257058379e-13,True,"""The process whose specific outcome is the progression of the instar larva or pupa over time, from its formation to the mature structure. An example of this process is found in Drosophila melanogaster."" [GOC:jid, GOC:mtg_sensu]",558,98,29,11686,0.29591836734693877,0.05197132616487455,query_1,"['GO:0007275', 'GO:0009791']"
GO:BP,GO:0050793,regulation of developmental process,2.0781178859509024e-12,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",687,98,31,11686,0.3163265306122449,0.04512372634643377,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0048583,regulation of response to stimulus,3.4582789199110963e-12,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",1038,98,37,11686,0.37755102040816324,0.03564547206165703,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0048666,neuron development,3.774020415273641e-12,True,"""The process whose specific outcome is the progression of a neuron over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell."" [GOC:dph]",651,98,30,11686,0.30612244897959184,0.04608294930875576,query_1,"['GO:0030182', 'GO:0048468']"
