source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048513,animal organ development,5.166474694570621e-21,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",1200,92,48,11686,0.5217391304347826,0.04,query_1,['GO:0048856']
GO:BP,GO:0007275,multicellular organism development,1.0717336923650671e-20,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",2276,92,62,11686,0.6739130434782609,0.027240773286467488,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0032502,developmental process,1.0497583536566298e-19,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",2954,92,68,11686,0.7391304347826086,0.023019634394041977,query_1,['GO:0008150']
GO:BP,GO:0048856,anatomical structure development,1.7541134633905682e-19,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",2775,92,66,11686,0.717391304347826,0.023783783783783784,query_1,['GO:0032502']
GO:BP,GO:0007444,imaginal disc development,1.6148605547567302e-17,True,"""The process whose specific outcome is the progression of the imaginal disc over time, from its formation to the metamorphosis to form adult structures. Imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult structures (legs, antennae, wings, etc.)."" [GOC:bf, ISBN:0879694238]",576,92,33,11686,0.358695652173913,0.057291666666666664,query_1,['GO:0048513']
GO:BP,GO:0048731,system development,2.242419823663026e-17,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",1527,92,49,11686,0.532608695652174,0.032089063523248196,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0048736,appendage development,2.810394427780201e-17,True,"""The process whose specific outcome is the progression of an appendage over time, from its formation to the mature structure. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch."" [GOC:jid, GOC:rc]",342,92,27,11686,0.29347826086956524,0.07894736842105263,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0035107,appendage morphogenesis,2.2730870213706766e-16,True,"""The process in which the anatomical structures of appendages are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch."" [ISBN:0582227089]",334,92,26,11686,0.2826086956521739,0.07784431137724551,query_1,"['GO:0009653', 'GO:0048736']"
GO:BP,GO:0048737,imaginal disc-derived appendage development,3.3023045276872247e-16,True,"""The process whose specific outcome is the progression of an appendage over time, from its formation in the imaginal disc to the mature structure. An appendage is an organ or part that is attached to the trunk of an organism."" [GOC:jid, GOC:mtg_sensu, GOC:rc]",339,92,26,11686,0.2826086956521739,0.07669616519174041,query_1,['GO:0048736']
GO:BP,GO:0009886,post-embryonic animal morphogenesis,3.4491598653371523e-16,True,"""The process, occurring after animal embryonic development, by which anatomical structures are generated and organized."" [GOC:go_curators]",456,92,29,11686,0.31521739130434784,0.06359649122807018,query_1,"['GO:0009653', 'GO:0009791']"
GO:BP,GO:0032501,multicellular organismal process,7.454811751974422e-16,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",3205,92,66,11686,0.717391304347826,0.02059282371294852,query_1,['GO:0008150']
GO:BP,GO:0009887,animal organ morphogenesis,1.0589951453898653e-15,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",763,92,35,11686,0.3804347826086957,0.045871559633027525,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0007560,imaginal disc morphogenesis,2.4000024049193913e-15,True,"""The process in which the anatomical structures derived from an imaginal disc are generated and organized. The imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult appendages (legs, antennae, wings, etc.) during metamorphosis from larval to adult form."" [GOC:jid]",406,92,27,11686,0.29347826086956524,0.0665024630541872,query_1,"['GO:0007444', 'GO:0007552', 'GO:0009887', 'GO:0048707']"
GO:BP,GO:0035114,imaginal disc-derived appendage morphogenesis,2.7997286403255776e-15,True,"""The process in which the anatomical structures of appendages are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism."" [GOC:mtg_sensu, ISBN:0582227089]",332,92,25,11686,0.2717391304347826,0.07530120481927711,query_1,"['GO:0035107', 'GO:0048737']"
GO:BP,GO:0009653,anatomical structure morphogenesis,5.108085781262772e-15,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",1580,92,47,11686,0.5108695652173914,0.029746835443037974,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0002165,instar larval or pupal development,8.167322676619433e-15,True,"""The process whose specific outcome is the progression of the instar larva or pupa over time, from its formation to the mature structure. An example of this process is found in Drosophila melanogaster."" [GOC:jid, GOC:mtg_sensu]",558,92,30,11686,0.32608695652173914,0.053763440860215055,query_1,"['GO:0007275', 'GO:0009791']"
GO:BP,GO:0035220,wing disc development,1.0820688726086167e-14,True,"""Progression of the wing disc over time, from its initial formation through to its metamorphosis to form adult structures including the wing hinge, wing blade and pleura."" [GOC:bf, ISBN:0879694238]",390,92,26,11686,0.2826086956521739,0.06666666666666667,query_1,['GO:0007444']
GO:BP,GO:0048707,instar larval or pupal morphogenesis,1.9792454857425704e-14,True,"""The process, occurring during instar larval or pupal development, by which anatomical structures are generated and organized."" [GOC:mtg_sensu, GOC:rc]",441,92,27,11686,0.29347826086956524,0.061224489795918366,query_1,"['GO:0002165', 'GO:0009886']"
GO:BP,GO:0035120,post-embryonic appendage morphogenesis,2.013283309174841e-14,True,"""The process, occurring after embryonic development, by which the anatomical structures of an appendage are generated and organized. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch."" [ISBN:0582227089]",323,92,24,11686,0.2608695652173913,0.07430340557275542,query_1,"['GO:0009886', 'GO:0035107']"
GO:BP,GO:0007552,metamorphosis,8.42085048385689e-14,True,"""A biological process in which an animal physically develops after birth or hatching, involving a conspicuous and relatively abrupt change in the animal's form or structure. Examples include the change from tadpole to frog, and the change from larva to adult. An example of this is found in Drosophila melanogaster."" [GOC:sensu, ISBN:0198506732, ISBN:0721662544]",467,92,27,11686,0.29347826086956524,0.057815845824411134,query_1,['GO:0007275']
GO:BP,GO:0009791,post-embryonic development,9.37245346194837e-14,True,"""The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development."" [GOC:go_curators]",660,92,31,11686,0.33695652173913043,0.04696969696969697,query_1,"['GO:0007275', 'GO:0032501']"
GO:BP,GO:0007476,imaginal disc-derived wing morphogenesis,1.3952105420242213e-13,True,"""The process in which the anatomical structures of the imaginal disc-derived wing are generated and organized. The wing is an appendage modified for flying."" [GOC:bf, GOC:mtg_sensu]",278,92,22,11686,0.2391304347826087,0.07913669064748201,query_1,"['GO:0007472', 'GO:0035114', 'GO:0035120']"
GO:BP,GO:0007472,wing disc morphogenesis,3.674249762230408e-13,True,"""The process in which the anatomical structures derived from the wing disc are generated and organized. This includes the transformation of a wing imaginal disc from a monolayered epithelium in the larvae of holometabolous insects into recognizable adult structures including the wing hinge, wing blade and pleura."" [GOC:bf, ISBN:0879694238]",291,92,22,11686,0.2391304347826087,0.07560137457044673,query_1,"['GO:0007560', 'GO:0035220']"
GO:BP,GO:0048869,cellular developmental process,4.870624525126546e-13,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",1769,92,47,11686,0.5108695652173914,0.026568682871678916,query_1,"['GO:0009987', 'GO:0032502']"
