source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0002181,cytoplasmic translation,9.877021142081996e-34,True,"""The chemical reactions and pathways resulting in the formation of a protein in the cytoplasm. This is a ribosome-mediated process in which the information in messenger RNA (mRNA) is used to specify the sequence of amino acids in the protein."" [GOC:hjd]",144,85,30,11686,0.35294117647058826,0.20833333333333334,query_1,['GO:0006412']
GO:BP,GO:0006412,translation,1.5598258531581824e-23,True,"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",445,85,34,11686,0.4,0.07640449438202247,query_1,"['GO:0009059', 'GO:0010467', 'GO:0019538']"
KEGG,KEGG:03010,Ribosome,2.264370190070898e-20,True,Ribosome,238,47,28,3541,0.5957446808510638,0.11764705882352941,query_1,['KEGG:00000']
KEGG,KEGG:04512,ECM-receptor interaction,0.00026941192394686487,True,ECM-receptor interaction,11,47,4,3541,0.0851063829787234,0.36363636363636365,query_1,['KEGG:00000']
GO:BP,GO:0010467,gene expression,0.0024742813694152593,True,"""The process in which a gene's sequence is converted into a mature gene product (protein or RNA). This includes the production of an RNA transcript and its processing, as well as translation and maturation for protein-coding genes."" [GOC:txnOH-2018, PMID:25934543, PMID:31580950]",2798,85,40,11686,0.47058823529411764,0.014295925661186561,query_1,['GO:0009059']
GO:BP,GO:0042274,ribosomal small subunit biogenesis,0.0026724788596656913,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a small ribosomal subunit; includes transport to the sites of protein synthesis."" [GOC:jl]",86,85,7,11686,0.08235294117647059,0.08139534883720931,query_1,"['GO:0022613', 'GO:0042254']"
GO:BP,GO:0009059,macromolecule biosynthetic process,0.007354253450687524,True,"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",3031,85,41,11686,0.4823529411764706,0.013526888815572418,query_1,"['GO:0009058', 'GO:0043170']"
GO:BP,GO:0019538,protein metabolic process,0.009339837796473757,True,"""The chemical reactions and pathways involving a protein. Includes protein modification."" [GOC:ma]",2495,85,36,11686,0.4235294117647059,0.014428857715430862,query_1,"['GO:0043170', 'GO:0044238']"
WP,WP:WP537,Translation factors,0.01023633373805579,True,Translation factors,38,7,4,371,0.5714285714285714,0.10526315789473684,query_1,['WP:000000']
GO:BP,GO:0042254,ribosome biogenesis,0.013432336443412383,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of ribosome subunits; includes transport to the sites of protein synthesis."" [GOC:ma, PMID:26404467, Wikipedia:Ribosome_biogenesis]",253,85,10,11686,0.11764705882352941,0.039525691699604744,query_1,['GO:0022613']
GO:BP,GO:0071711,basement membrane organization,0.019597512448010224,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the basement membrane."" [GOC:mah]",23,85,4,11686,0.047058823529411764,0.17391304347826086,query_1,['GO:0030198']
TF,TF:M07761,Factor: al; motif: TAATNNNATTA,0.030958128217172344,True,Factor: al; motif: TAATNNNATTA,1232,99,21,13981,0.21212121212121213,0.017045454545454544,query_1,['TF:M00000']
TF,TF:M07761_1,Factor: al; motif: TAATNNNATTA; match class: 1,0.030958128217172344,True,Factor: al; motif: TAATNNNATTA; match class: 1,1232,99,21,13981,0.21212121212121213,0.017045454545454544,query_1,['TF:M07761']
KEGG,KEGG:04142,Lysosome,0.032607771082975225,True,Lysosome,123,47,7,3541,0.14893617021276595,0.056910569105691054,query_1,['KEGG:00000']
TF,TF:M07818,Factor: PHDP; motif: NTAATSNAATTAN,0.034698933103825214,True,Factor: PHDP; motif: NTAATSNAATTAN,1242,99,21,13981,0.21212121212121213,0.016908212560386472,query_1,['TF:M00000']
GO:BP,GO:0022613,ribonucleoprotein complex biogenesis,0.035162632116895416,True,"""A cellular process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a complex containing RNA and proteins. Includes the biosynthesis of the constituent RNA and protein molecules, and those macromolecular modifications that are involved in synthesis or assembly of the ribonucleoprotein complex."" [GOC:isa_complete, GOC:mah]",344,85,11,11686,0.12941176470588237,0.03197674418604651,query_1,['GO:0044085']
