source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048513,animal organ development,2.840654172051702e-25,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",1200,95,53,11686,0.5578947368421052,0.04416666666666667,query_1,['GO:0048856']
GO:BP,GO:0048731,system development,4.129374672795109e-25,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",1527,95,58,11686,0.6105263157894737,0.03798297314996726,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0007275,multicellular organism development,2.4269420250293773e-22,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",2276,95,65,11686,0.6842105263157895,0.028558875219683654,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0048856,anatomical structure development,6.818411427352105e-22,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",2775,95,70,11686,0.7368421052631579,0.025225225225225224,query_1,['GO:0032502']
GO:BP,GO:0032502,developmental process,4.0266360483083035e-21,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",2954,95,71,11686,0.7473684210526316,0.024035206499661475,query_1,['GO:0008150']
GO:BP,GO:0007444,imaginal disc development,3.2796932113302756e-20,True,"""The process whose specific outcome is the progression of the imaginal disc over time, from its formation to the metamorphosis to form adult structures. Imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult structures (legs, antennae, wings, etc.)."" [GOC:bf, ISBN:0879694238]",576,95,36,11686,0.37894736842105264,0.0625,query_1,['GO:0048513']
GO:BP,GO:0009887,animal organ morphogenesis,4.257304946230596e-19,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",763,95,39,11686,0.4105263157894737,0.05111402359108781,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0048869,cellular developmental process,6.201333085384955e-19,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",1769,95,55,11686,0.5789473684210527,0.031091011871113624,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0030154,cell differentiation,4.6926184179540965e-18,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",1768,95,54,11686,0.5684210526315789,0.030542986425339366,query_1,['GO:0048869']
GO:BP,GO:0009653,anatomical structure morphogenesis,1.1355656545534122e-17,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",1580,95,51,11686,0.5368421052631579,0.032278481012658226,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0035220,wing disc development,1.2885109148582922e-17,True,"""Progression of the wing disc over time, from its initial formation through to its metamorphosis to form adult structures including the wing hinge, wing blade and pleura."" [GOC:bf, ISBN:0879694238]",390,95,29,11686,0.30526315789473685,0.07435897435897436,query_1,['GO:0007444']
GO:BP,GO:0007399,nervous system development,1.9458301901785923e-17,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",1196,95,45,11686,0.47368421052631576,0.03762541806020067,query_1,['GO:0048731']
GO:BP,GO:0022008,neurogenesis,3.301839789322457e-17,True,"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]",972,95,41,11686,0.43157894736842106,0.04218106995884774,query_1,"['GO:0007399', 'GO:0030154']"
GO:BP,GO:0032501,multicellular organismal process,4.007105014705593e-17,True,"""Any biological process, occurring at the level of a multicellular organism, pertinent to its function."" [GOC:curators, GOC:dph, GOC:isa_complete, GOC:tb]",3205,95,69,11686,0.7263157894736842,0.021528861154446178,query_1,['GO:0008150']
GO:BP,GO:0080090,regulation of primary metabolic process,3.650536703736911e-16,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",1860,95,53,11686,0.5578947368421052,0.02849462365591398,query_1,"['GO:0019222', 'GO:0044238']"
GO:BP,GO:0007560,imaginal disc morphogenesis,5.085826500352199e-16,True,"""The process in which the anatomical structures derived from an imaginal disc are generated and organized. The imaginal discs are epithelial infoldings in the larvae of holometabolous insects that develop into adult appendages (legs, antennae, wings, etc.) during metamorphosis from larval to adult form."" [GOC:jid]",406,95,28,11686,0.29473684210526313,0.06896551724137931,query_1,"['GO:0007444', 'GO:0007552', 'GO:0009887', 'GO:0048707']"
GO:BP,GO:0051252,regulation of RNA metabolic process,5.460096330815163e-16,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1300,95,45,11686,0.47368421052631576,0.03461538461538462,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']"
GO:BP,GO:0048737,imaginal disc-derived appendage development,8.331740207180127e-16,True,"""The process whose specific outcome is the progression of an appendage over time, from its formation in the imaginal disc to the mature structure. An appendage is an organ or part that is attached to the trunk of an organism."" [GOC:jid, GOC:mtg_sensu, GOC:rc]",339,95,26,11686,0.2736842105263158,0.07669616519174041,query_1,['GO:0048736']
GO:BP,GO:0048736,appendage development,1.0385903527505674e-15,True,"""The process whose specific outcome is the progression of an appendage over time, from its formation to the mature structure. An appendage is an organ or part that is attached to the trunk of an organism, such as a limb or a branch."" [GOC:jid, GOC:rc]",342,95,26,11686,0.2736842105263158,0.07602339181286549,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0007476,imaginal disc-derived wing morphogenesis,1.4434663500024936e-15,True,"""The process in which the anatomical structures of the imaginal disc-derived wing are generated and organized. The wing is an appendage modified for flying."" [GOC:bf, GOC:mtg_sensu]",278,95,24,11686,0.25263157894736843,0.08633093525179857,query_1,"['GO:0007472', 'GO:0035114', 'GO:0035120']"
GO:BP,GO:0048699,generation of neurons,1.4994257023487053e-15,True,"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]",903,95,38,11686,0.4,0.042081949058693245,query_1,['GO:0022008']
GO:BP,GO:0006355,regulation of DNA-templated transcription,2.1565546101236795e-15,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1151,95,42,11686,0.4421052631578947,0.036490008688097306,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']"
GO:BP,GO:2001141,regulation of RNA biosynthetic process,2.1565546101236795e-15,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",1151,95,42,11686,0.4421052631578947,0.036490008688097306,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']"
