source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0048513,animal organ development,1.5017346104732738e-26,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",1200,91,53,11686,0.5824175824175825,0.04416666666666667,query_1,['GO:0048856']
GO:BP,GO:0007275,multicellular organism development,4.923669157611502e-23,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",2276,91,64,11686,0.7032967032967034,0.028119507908611598,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0009653,anatomical structure morphogenesis,1.1688180479266227e-22,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",1580,91,55,11686,0.6043956043956044,0.03481012658227848,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0009887,animal organ morphogenesis,4.482272152593105e-22,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",763,91,41,11686,0.45054945054945056,0.053735255570117955,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0032502,developmental process,4.109824348589789e-21,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",2954,91,69,11686,0.7582417582417582,0.023358158429248477,query_1,['GO:0008150']
GO:BP,GO:0007423,sensory organ development,5.610254885575417e-21,True,"""The process whose specific outcome is the progression of sensory organs over time, from its formation to the mature structure."" [GOC:go_curators]",492,91,34,11686,0.37362637362637363,0.06910569105691057,query_1,['GO:0048513']
GO:BP,GO:0048468,cell development,1.6147874193496703e-20,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",1450,91,51,11686,0.5604395604395604,0.03517241379310345,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0030154,cell differentiation,3.2370719079786836e-20,True,"""The cellular developmental process in which a relatively unspecialized cell, e.g. embryonic or regenerative cell, acquires specialized structural and/or functional features that characterize a specific cell. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state."" [ISBN:0198506732]",1768,91,55,11686,0.6043956043956044,0.031108597285067874,query_1,['GO:0048869']
GO:BP,GO:0048869,cellular developmental process,3.3291008434507267e-20,True,"""A biological process whose specific outcome is the progression of a cell over time from an initial condition to a later condition."" [GOC:isa_complete]",1769,91,55,11686,0.6043956043956044,0.031091011871113624,query_1,"['GO:0009987', 'GO:0032502']"
GO:BP,GO:0048856,anatomical structure development,6.650129710691386e-20,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",2775,91,66,11686,0.7252747252747253,0.023783783783783784,query_1,['GO:0032502']
