source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0009653,anatomical structure morphogenesis,2.0133322114743268e-14,True,"""The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."" [GOC:go_curators, ISBN:0521436125]",1580,84,44,11686,0.5238095238095238,0.027848101265822784,query_1,"['GO:0032502', 'GO:0048856']"
GO:BP,GO:0009887,animal organ morphogenesis,3.6836189024324137e-14,True,"""Morphogenesis of an animal organ. An organ is defined as a tissue or set of tissues that work together to perform a specific function or functions. Morphogenesis is the process in which anatomical structures are generated and organized. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dgh, GOC:go_curators, ISBN:0471245208, ISBN:0721662544]",763,84,32,11686,0.38095238095238093,0.04193971166448231,query_1,"['GO:0009653', 'GO:0048513']"
GO:BP,GO:0007275,multicellular organism development,9.223673329084707e-14,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",2276,84,51,11686,0.6071428571428571,0.02240773286467487,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0048856,anatomical structure development,4.4344923226351613e-13,True,"""The biological process whose specific outcome is the progression of an anatomical structure from an initial condition to its mature state. This process begins with the formation of the structure and ends with the mature structure, whatever form that may be including its natural destruction. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."" [GO_REF:0000021]",2775,84,55,11686,0.6547619047619048,0.01981981981981982,query_1,['GO:0032502']
GO:BP,GO:0048513,animal organ development,1.1796750748673593e-12,True,"""Development of a tissue or tissues that work together to perform a specific function or functions. Development pertains to the process whose specific outcome is the progression of a structure over time, from its formation to the mature structure. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that work together to perform a specific function or functions."" [GOC:dph, GOC:jid]",1200,84,37,11686,0.44047619047619047,0.030833333333333334,query_1,['GO:0048856']
GO:BP,GO:0032502,developmental process,1.3724083662697352e-12,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",2954,84,56,11686,0.6666666666666666,0.018957345971563982,query_1,['GO:0008150']
GO:BP,GO:0048731,system development,1.870199908494532e-12,True,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",1527,84,41,11686,0.4880952380952381,0.026850032743942372,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0009791,post-embryonic development,4.717961161691604e-12,True,"""The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development."" [GOC:go_curators]",660,84,28,11686,0.3333333333333333,0.04242424242424243,query_1,"['GO:0007275', 'GO:0032501']"
GO:BP,GO:0002165,instar larval or pupal development,6.348416404656874e-12,True,"""The process whose specific outcome is the progression of the instar larva or pupa over time, from its formation to the mature structure. An example of this process is found in Drosophila melanogaster."" [GOC:jid, GOC:mtg_sensu]",558,84,26,11686,0.30952380952380953,0.04659498207885305,query_1,"['GO:0007275', 'GO:0009791']"
GO:BP,GO:0009888,tissue development,1.004224456761229e-11,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",680,84,28,11686,0.3333333333333333,0.041176470588235294,query_1,['GO:0048856']
