group,names,scores,logfoldchanges,pvals,pvals_adj
Ctrl,mt:CoI,36.347584,0.9864879,2.8691598153432146e-289,6.565785321431412e-286
Ctrl,mt:CoIII,33.7686,1.3044584,5.702244587943901e-250,1.087418042920902e-246
Ctrl,l(3)80Fj,29.965183,1.0105178,2.7905634560682875e-197,4.5613752949047634e-194
Ctrl,rl,28.81856,1.2619852,1.2558458060997488e-182,1.4369387713393325e-179
Ctrl,l(3)80Fg,27.41121,1.3671237,2.016346715529573e-165,2.0973671926444886e-162
Ctrl,AMPdeam,26.94579,1.6590079,6.390853142508063e-160,5.6249339735828664e-157
Ctrl,Socs36E,25.420393,1.3866619,1.5007912559857026e-142,9.540029750549115e-140
Ctrl,gus,24.758718,1.3600702,2.4975904751202347e-135,1.4288715108162863e-132
Ctrl,CG42748,24.50427,0.92949456,1.3301398465763508e-132,7.247361964060288e-130
Ctrl,Argk1,24.158442,1.5727235,6.087182487416717e-129,3.0282409574357425e-126
Ctrl,CG30440,24.04979,1.117655,8.390078196407897e-128,3.999969780137465e-125
Ctrl,ap,23.992025,1.2798464,3.3683283080462805e-127,1.5416165000266215e-124
Ctrl,Gprk1,23.951397,0.79288507,8.935564134554175e-127,3.932335570291111e-124
Ctrl,grp,23.919115,1.1076306,1.937656286270802e-126,8.211356750929821e-124
Ctrl,CG17883,23.828228,1.8714525,1.7031714442337606e-125,6.959888451758103e-123
Ctrl,Hipk,23.67704,0.88593787,6.217435977697034e-124,2.453100084717568e-121
Ctrl,Sxl,23.013235,0.86718357,3.435628542215084e-117,1.310348726000833e-114
Ctrl,Nipped-A,22.730883,0.858579,2.2182711040909837e-114,8.18756708806743e-112
Ctrl,CG14439,21.711079,1.9941742,1.612292208738046e-104,5.42583748599433e-102
Ctrl,l(2)gl,21.485073,1.0372775,2.147269143761192e-102,7.01972958369016e-100
Ctrl,CG12567,21.068735,1.4880238,1.5398860295407035e-98,4.894271097223536e-96
Ctrl,anne,20.911093,1.0524069,4.243952173276946e-97,1.3124135342333734e-94
Ctrl,Maf1,20.485569,1.4596248,2.895780616219216e-93,8.283380452695067e-91
Ctrl,CG17834,20.457943,1.4156556,5.1047416643994915e-93,1.424596442050219e-90
Ctrl,CG41378,20.008669,0.9601602,4.628482768801888e-89,1.260930948586457e-86
Ctrl,PlexA,20.002296,0.761599,5.259408462646962e-89,1.3994918983629427e-86
Ctrl,CG6700,19.960896,1.011364,1.2053478000790487e-88,3.134452165569199e-86
Ctrl,Dbp80,19.92816,0.6033765,2.3193827258558582e-88,5.8974171442761625e-86
Ctrl,CG42238,19.634,0.67934555,7.922378511831329e-86,1.9706055420081322e-83
Ctrl,uex,19.494675,0.84462774,1.2182536316288815e-84,2.9040120943953464e-82
Ctrl,mt:CoII,19.476543,0.86056274,1.736093241980189e-84,4.0539548723953717e-82
Ctrl,Glut1,19.331625,1.6064662,2.9110159289205854e-83,6.6615688517418675e-81
