group,names,scores,logfoldchanges,pvals,pvals_adj
Ctrl,br,49.941605,1.8528329,0.0,0.0
Ctrl,CG42238,48.291428,3.531289,0.0,0.0
Ctrl,CG43759,46.348095,2.4445024,0.0,0.0
Ctrl,heph,43.22674,1.4420542,0.0,0.0
Ctrl,nkd,40.119698,2.253427,0.0,0.0
Ctrl,MFS17,40.035675,2.9398828,0.0,0.0
Ctrl,rl,39.614727,2.8348315,0.0,0.0
Ctrl,nub,39.353012,3.1361048,0.0,0.0
Ctrl,CG33978,38.739365,2.3005316,0.0,0.0
Ctrl,Cirl,38.210915,2.2437167,0.0,0.0
Ctrl,Gprk1,37.981384,2.6122546,0.0,0.0
Ctrl,Dbp80,37.58881,2.5969884,3.27466303995269e-309,2.341793406446167e-306
Ctrl,CG10077,37.044834,2.7101824,2.1749565111677547e-300,1.4638736706342028e-297
Ctrl,l(3)80Fj,36.181637,2.0343444,1.183816350335268e-286,7.525125933631187e-284
Ctrl,Bx,36.112095,3.12613,1.464996298496469e-285,8.82236191968242e-283
Ctrl,CG41378,36.089165,2.9582233,3.3543902746809144e-285,1.919046676144951e-282
Ctrl,grp,35.917492,2.4852576,1.6291551135614245e-282,8.876568004461819e-280
Ctrl,hdc,35.829906,1.8047007,3.7810543096504745e-281,1.966491973228215e-278
Ctrl,unc-13,35.71968,2.3368104,1.9565415065223095e-279,9.733368659838377e-277
Ctrl,jing,35.561344,2.4313304,5.549162548302636e-277,2.645563244903282e-274
Ctrl,arr,35.454914,2.5123112,2.436568915661883e-275,1.1151688613201304e-272
Ctrl,l(3)80Fg,34.975826,2.8360748,5.245531398655007e-268,2.3084373178234844e-265
Ctrl,CG30440,34.496975,2.4100077,8.904501311920172e-261,3.7735297781848376e-258
Ctrl,Fas3,33.14154,1.5102525,7.498117085777102e-241,3.0640519891236284e-238
Ctrl,pum,32.911957,1.8621277,1.4823302003647492e-237,5.8485593629563655e-235
Ctrl,rn,32.616104,2.904413,2.4245763431404386e-233,9.247334172737633e-231
Ctrl,Eip63E,32.604836,2.1565063,3.5026415557198207e-233,1.2928136993724576e-230
Ctrl,klar,32.503345,1.8150257,9.56381830852689e-232,3.419662783942646e-229
Ctrl,Parp,32.42537,2.3814206,1.2052025082683012e-230,4.1787657877593645e-228
Ctrl,CG5151,32.390167,2.1898453,3.77552927879556e-230,1.270576647293494e-227
Ctrl,CG6700,32.323273,2.4795632,3.2950731284265776e-229,1.0772064781559114e-226
Ctrl,Zdhhc8,32.23112,2.1948118,6.46993231851187e-228,2.0563601552336893e-225
Ctrl,eIF4EHP,32.13448,2.2686634,1.455223800323476e-226,4.500181276567895e-224
Ctrl,Dys,32.11444,2.013484,2.7718992131272636e-226,8.346334420158461e-224
Ctrl,lola,31.680147,1.4958682,2.9165259614764512e-220,8.556638474670142e-218
Ctrl,pk,31.028286,2.4565246,2.2399931253973894e-211,6.251219839218764e-209
Ctrl,dve,31.005196,3.6240118,4.587688166177736e-211,1.2498173332715633e-208
